resource_id,final_score,rank_position,spectral_centroid_med,spectral_centroid_iqr,spectral_bandwidth_iqr,f0,hnr_med,filenames,amp
793,0.21340615203925045,21,465.5566872989343,242.0058771129565,334.1092124960867,70.10083450255941,19.319197,A2-Major 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
659,0.2114629399705688,22,614.3979975459142,205.52373229433363,286.24423390410493,92.4986056779086,20.916842,classic_5_100bpm 7-Marshall JCM800.wav,Marshall JCM800
644,0.20302470348995003,23,352.4102285332753,270.22841324404607,563.345496959007,69.6970834057884,36.377026,classic_3_50bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
710,0.1959843806270678,24,309.99654963293153,367.22792019440175,596.0219502551312,78.23233100085048,27.712805,FS_Lick7_MN 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
748,0.1931995010364702,25,342.45178802186393,346.77892437537906,735.9997298218727,65.40639132514966,46.05747,LP_mute 5-Fender deluxe reverb.wav,Fender deluxe reverb
750,0.19156928967951,26,340.4743285918569,335.3988466749538,835.5242391182962,65.40639132514966,44.431175,LP_mute 7-Marshall JCM800.wav,Marshall JCM800
674,0.18407954284292383,27,604.3340382157263,316.52691405214955,720.3917315531883,76.88834637984607,12.914701,country_5_80bpm_Drive 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
725,0.1814685641051874,28,234.219356415612,176.99882745451762,161.380658980879,87.30705785825097,35.045933,G53 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
661,0.16269761866596996,29,782.0870525966129,346.3377281929754,494.1641438806169,92.4986056779086,21.305222,classic_5_100bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
721,0.15934929541063556,30,230.71721012545623,100.10152679266577,84.20538534207282,88.83315834800462,30.63837,G53 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
654,0.15660545338119156,31,958.6884850576246,304.37952906783903,345.2198318158089,65.7852866955572,14.169221,classic_3_60bpm_Drive 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
693,0.15567668929527395,32,329.11973637881465,100.1155195687154,102.3138296688968,82.40688922821748,47.927288,FS_Harmonic 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
708,0.14866397459122488,33,314.9062380119666,377.516788294469,590.5185220111146,67.32294488175604,28.817453,FS_Lick7_MN 7-Marshall JCM800.wav,Marshall JCM800
671,0.1394416840245719,34,780.8080214287315,550.378156411498,930.2958933055282,68.10519982075922,14.522671,country_5_80bpm_Drive 5-Fender deluxe reverb.wav,Fender deluxe reverb
651,0.1375948695501203,35,633.647809547057,121.39561374631126,109.20187511932215,65.40639132514966,14.999237,classic_3_60bpm_Drive 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
758,0.1305969251781156,36,576.6274837851729,219.83314010588788,373.6999100518847,65.40639132514966,21.320353,NocturneNr 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
754,0.11794255488526961,37,717.7205317954283,692.1237054382859,1001.624078393176,65.40639132514966,35.88626,LP_mute 11-VOXac30 custom.wav,VOXac30 custom
720,0.10394512490452028,38,219.06534842195163,177.63959150385944,195.8964878068072,73.4161919793519,36.341396,G53 5-Fender deluxe reverb.wav,Fender deluxe reverb
658,0.1004891712393434,39,476.0358647551707,207.17878351306516,265.00969277033846,91.96585291173604,19.818905,classic_5_100bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
751,0.09820479573503672,40,269.51878204601616,250.9627399428916,656.2868775860252,65.40639132514966,48.561203,LP_mute 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
792,0.09732125469476408,41,528.4142111694694,259.8735083454814,354.15616112679663,71.32617550580554,18.433254,A2-Major 7-Marshall JCM800.wav,Marshall JCM800
675,0.09556332568034022,42,774.9140969625307,627.3683503408046,1090.3811099430416,97.153836598418,13.254953,country_5_80bpm_Drive 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
667,0.09090226669763438,43,764.4761061907502,522.7251277539822,708.5292277542775,65.40639132514966,15.129822,country_1_110bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
681,0.09003349043881202,44,516.4611889687867,370.3246849129745,554.9720057249691,84.82159539743674,23.676735,E1-Major 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
800,0.08872640562174056,45,563.876195732786,311.960020908699,369.4198814487028,83.3644111580719,25.084906,A2-Minor 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
682,0.0861349108146155,46,681.3012726848989,599.1143164430096,725.4408659944504,86.30425076864258,22.621033,E1-Major 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
711,0.08476021177383568,47,367.29317667431786,286.749079604714,334.35202488205044,72.99334582862124,24.331749,FS_Lick7_MN 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
688,0.07667467993431645,48,438.83089510801983,231.47529493791015,333.51204922968407,70.50692450564009,21.633242,E1-Minor 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
726,0.0715613829109969,49,364.6402348851838,237.76093698343152,199.5443750485323,91.70101074372135,21.932516,G53 11-VOXac30 custom.wav,VOXac30 custom
749,0.0714236956357794,50,268.1986516566135,246.975880478993,658.2194512642552,65.40639132514966,45.565216,LP_mute 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
670,0.06567597661045416,51,1158.8735531875122,828.1650787867485,1069.328436708069,65.40639132514966,12.785392,country_1_110bpm 11-VOXac30 custom.wav,VOXac30 custom
739,0.06293445841631036,52,734.6146825522486,93.0283213841983,76.4737291601615,83.3644111580719,15.177502,LP_Lick3 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
801,0.0605156001693332,53,647.2313573520365,401.02995176863055,410.1272293486958,82.88426748110167,22.304646,A2-Minor 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
779,0.056914954551084126,54,662.1042925346505,407.7133564269418,522.9708745949348,79.59980805922079,13.334428,Rock_5_100bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
647,0.053222202595366246,55,740.8057637849156,820.0961223163868,1017.512630656888,74.26924703925044,29.687654,classic_3_50bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
777,0.05209823553242629,56,606.2539017783861,312.85005297507,452.2306546166831,71.95435639639905,15.677167,Rock_5_100bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
662,0.0506884993950185,57,723.6878818858185,275.8365933072738,355.01578732971325,92.23222929482232,16.401545,classic_5_100bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
756,0.05056992262550009,58,482.3118418239069,152.72246881262947,326.36761380242274,65.40639132514966,20.66534,NocturneNr 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
776,0.05014570311516261,59,764.2704149826546,517.3638930952964,533.1500722098247,77.33375603922921,13.677312,Rock_5_100bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
790,0.04478762255978821,60,641.4576391777324,392.9061236873624,375.3802210556004,65.40639132514966,19.88155,A2-Major 5-Fender deluxe reverb.wav,Fender deluxe reverb
696,0.044331050033194194,61,378.58649835155086,68.48703676482688,174.60228555231004,82.40688922821748,44.410538,FS_Harmonic 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
757,0.042899317427121414,62,608.7526850010631,233.8528342066902,323.8866573697451,65.40639132514966,19.681133,NocturneNr 7-Marshall JCM800.wav,Marshall JCM800
694,0.041604623635584086,63,378.2749321723765,121.1505427147307,100.8836877632989,82.40688922821748,45.97312,FS_Harmonic 7-Marshall JCM800.wav,Marshall JCM800
685,0.04010654237239726,64,536.7414019085912,324.0583732111643,370.9007192390785,70.10083450255941,21.161537,E1-Minor 5-Fender deluxe reverb.wav,Fender deluxe reverb
784,0.03803560909338098,65,615.9401979486136,417.88377035095095,624.9858284988527,77.33375603922921,20.332684,Rock4_125bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
791,0.03666207257427263,66,431.7608253977319,190.45574989264023,301.13959061137643,84.82159539743674,19.526318,A2-Major 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
737,0.031355762452763065,67,801.1004045559889,285.08838649719337,339.63364643834404,75.13221412149176,15.779947,LP_Lick3 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
778,0.029396899300214045,68,826.568170375179,435.3611566116725,381.21056042318105,87.81282249923149,12.285368,Rock_5_100bpm 7-Marshall JCM800.wav,Marshall JCM800
677,0.028986774028329026,69,939.0601497642184,702.3586594802018,956.0591277680836,73.84148765291448,11.386782,country_5_80bpm_Drive 11-VOXac30 custom.wav,VOXac30 custom
716,0.027282704756925465,70,954.446441222858,475.8959230340963,463.8371532769388,220.0,30.02261,FS_Lick11_KN 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
712,0.024704739456759283,71,414.9197396914362,408.48603154827015,558.2437902163075,66.74243407947179,22.067055,FS_Lick7_MN 11-VOXac30 custom.wav,VOXac30 custom
713,0.024615908814836142,72,1211.6158282733102,653.296329873192,417.36188651083137,220.0,26.711617,FS_Lick11_KN 5-Fender deluxe reverb.wav,Fender deluxe reverb
786,0.021110773325360196,73,757.1619064718386,544.5241348440079,738.6758576715248,70.91536696417685,19.318739,Rock4_125bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
797,0.017386213054319227,74,671.5157557178367,453.0387458038167,361.5602445222753,83.8473362790669,25.425522,A2-Minor 5-Fender deluxe reverb.wav,Fender deluxe reverb
755,0.0162893952454018,75,721.398639079546,317.6545410245724,455.6296631307903,65.40639132514966,21.602161,NocturneNr 5-Fender deluxe reverb.wav,Fender deluxe reverb
697,0.015637569017228986,76,420.5035193731412,95.75380069573669,164.93119905744152,82.40688922821748,39.128796,FS_Harmonic 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
735,0.013607591995704223,77,641.1958119939328,194.84819179907709,178.12245593088733,78.00703846568535,18.92691,LP_Lick3 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
698,0.011111506483693979,78,429.7417259526263,128.01058110450612,133.86817410785943,82.40688922821748,41.99785,FS_Harmonic 11-VOXac30 custom.wav,VOXac30 custom
785,0.010669499712824427,79,848.7739729774358,590.3140888177734,659.6262209702218,66.54967490706109,19.893768,Rock4_125bpm 7-Marshall JCM800.wav,Marshall JCM800
669,0.0033251924788455893,80,1014.2828146728808,577.6196178615776,602.1346548216707,65.40639132514966,12.730264,country_1_110bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
714,0.001731139608157864,81,898.736322555327,443.47472018358326,333.6136793088808,220.0,29.939585,FS_Lick11_KN 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
802,-0.0007456559298219456,82,719.2387313459352,361.3289970821852,285.6222182961442,82.88426748110167,25.6153,A2-Minor 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
734,-0.004521808061928929,83,882.5850344540165,296.83574727018095,255.31394521610852,75.57249325091561,15.810958,LP_Lick3 5-Fender deluxe reverb.wav,Fender deluxe reverb
680,-0.006776337519778514,84,573.0381915020763,410.91888302258593,491.9470564970419,83.8473362790669,22.196428,E1-Major 7-Marshall JCM800.wav,Marshall JCM800
652,-0.008683905068296456,85,918.6796943143664,273.6313190286089,198.2596792954522,65.40639132514966,12.429127,classic_3_60bpm_Drive 7-Marshall JCM800.wav,Marshall JCM800
799,-0.008686525112554097,86,617.3935684333032,384.6657877769581,372.37149567166784,85.3129619008554,22.213596,A2-Minor 7-Marshall JCM800.wav,Marshall JCM800
702,-0.008912303082403662,87,835.8931623227859,368.5809761094047,208.8260147495012,175.62564499846297,40.21789,FS_Lick4 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
740,-0.014315273915901138,88,1122.3422738573297,318.43852317060464,282.71307602971046,82.88426748110167,14.959197,LP_Lick3 11-VOXac30 custom.wav,VOXac30 custom
764,-0.01499092337205288,89,1130.9766848027575,379.0420278616804,250.55137497597275,69.29565774421802,9.039338,Pop6_90bpm 7-Marshall JCM800.wav,Marshall JCM800
798,-0.019801075316332156,90,535.1936564635242,273.9179421632351,287.3342755326609,82.88426748110167,26.884012,A2-Minor 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
690,-0.021497662832349954,91,532.5705390581669,269.1693469011944,224.64225053433745,103.22817963382576,20.970005,E1-Minor 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
752,-0.024046453990127135,92,217.91517499831053,125.90624392446614,484.1160678475077,65.40639132514966,50.239265,LP_mute 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
728,-0.024431151999482426,93,713.1955159481194,270.6459936268908,332.91658856184586,69.6970834057884,13.073904,Jazz_6_160bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
761,-0.026031663744106065,94,883.0520742695173,393.57862265128506,453.6556973182903,81.46580125261343,18.987663,NocturneNr 11-VOXac30 custom.wav,VOXac30 custom
766,-0.029892461863340065,95,1193.355411692517,386.2129480100766,392.1612988469674,98.56656061031477,11.060452,Pop6_90bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
744,-0.033095519737948505,96,1138.135739932506,460.06457088076615,392.54378886825407,175.62564499846297,30.183277,LP_Lick4 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
653,-0.03416122870213445,97,780.0469290262859,215.48920705903905,222.6771475629952,65.40639132514966,12.943071,classic_3_60bpm_Drive 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
678,-0.03427878610155108,98,667.1731562626551,522.6264404383926,558.9768040344203,82.40688922821748,23.517017,E1-Major 5-Fender deluxe reverb.wav,Fender deluxe reverb
686,-0.036650531626069786,99,386.7560962506964,174.44447827540858,229.99734073791183,70.50692450564009,22.03246,E1-Minor 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
738,-0.039723226518531496,100,837.1897888534345,173.87958915080958,250.06898103356943,83.3644111580719,14.41301,LP_Lick3 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
795,-0.04203768690744356,101,666.8052621185016,356.79024121172154,436.17719419405626,85.06727864914606,16.835243,A2-Major 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
664,-0.04566400570082208,102,982.3160918211504,757.671355169032,761.7394988524929,65.40639132514966,15.951649,country_1_110bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
762,-0.04788109421203349,103,1251.4380353951872,429.6115764679905,257.684961681181,65.40639132514966,9.491773,Pop6_90bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
730,-0.0483086487742199,104,792.5239994033188,260.23180975566527,400.0662793610014,71.32617550580554,11.066696,Jazz_6_160bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
770,-0.049702781256676105,105,673.3589841655642,811.195933721564,960.429107617676,82.40688922821748,25.413887,Pop7_70bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
743,-0.05346886964844326,106,1263.1505846682428,475.57745963091,278.81642736273056,175.62564499846297,28.205898,LP_Lick4 7-Marshall JCM800.wav,Marshall JCM800
665,-0.05808642930501008,107,651.0161199871051,406.93710235193726,634.7440585685872,65.7852866955572,15.564367,country_1_110bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
759,-0.0603928282819791,108,914.6680126866972,488.4746820795186,523.5274612122212,85.36420311659444,19.585924,NocturneNr 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
656,-0.06308924555540464,109,1170.7608347978694,297.03428207551406,238.82720945018195,65.7852866955572,11.465177,classic_3_60bpm_Drive 11-VOXac30 custom.wav,VOXac30 custom
650,-0.06702900041352201,110,938.962260493559,301.5779481860709,229.14192445390225,65.40639132514966,13.552934,classic_3_60bpm_Drive 5-Fender deluxe reverb.wav,Fender deluxe reverb
727,-0.06716375144672082,111,1018.1109040898084,375.994200564932,442.1581792274619,65.40639132514966,11.400829,Jazz_6_160bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
732,-0.06729369501890223,112,761.952868800347,148.4357686012031,216.13216052932196,87.30705785825097,13.759668,Jazz_6_160bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
803,-0.07678315836410805,113,709.7266900827715,501.15377182136376,471.5644794655296,166.7288223161438,22.105122,A2-Minor 11-VOXac30 custom.wav,VOXac30 custom
772,-0.07704175499840381,114,805.4943730722414,940.8822171903864,1009.5148672607806,82.40688922821748,22.756453,Pop7_70bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
692,-0.07762971928611159,115,387.3573428255323,103.25334806281715,103.88055919655052,82.40688922821748,43.974426,FS_Harmonic 5-Fender deluxe reverb.wav,Fender deluxe reverb
765,-0.07967788768795715,116,950.2746207562046,319.096829182027,301.9403056533074,93.84442026484018,9.901589,Pop6_90bpm 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
637,-0.08109201661257044,117,1077.4615235455813,200.24244561531373,153.97827137514264,221.27444703492776,32.617496,AR_Lick6 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
783,-0.0824666303794652,118,1028.527895141079,778.9780029075243,725.3660880815173,66.16637698451642,17.063786,Rock4_125bpm 5-Fender deluxe reverb.wav,Fender deluxe reverb
642,-0.08261588899797809,119,1565.525276667591,385.7574021567068,214.4797631056972,221.27444703492776,32.014297,AR_Lick6 11-VOXac30 custom.wav,VOXac30 custom
703,-0.0830975062854305,120,1044.7502364182217,460.7117981044182,269.24630380197243,175.62564499846297,44.678574,FS_Lick4 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
794,-0.08529252411513434,121,628.4511717076941,370.6509889515107,479.8655189174871,88.32151700497141,18.391914,A2-Major 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
731,-0.08539524806161472,122,903.5796584675396,442.9163571756202,683.906547996134,90.91560141999828,11.534761,Jazz_6_160bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
782,-0.09241785604983899,123,1037.3892048630885,584.6877187103769,914.1450344791904,87.81282249923149,12.936777,Rock_5_100bpm 11-VOXac30 custom.wav,VOXac30 custom
719,-0.09321846863265723,124,1248.071987914961,713.2361216004163,592.3321652783793,220.0,28.402504,FS_Lick11_KN 11-VOXac30 custom.wav,VOXac30 custom
760,-0.09386300313776152,125,718.3527871729907,216.3268459262938,305.8803587925032,65.40639132514966,19.562933,NocturneNr 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
729,-0.09616377625105264,126,948.2231824314856,342.2490549801164,360.9111655458205,113.87914162255151,10.434652,Jazz_6_160bpm 7-Marshall JCM800.wav,Marshall JCM800
753,-0.09761926161423543,127,588.3082381518418,304.4899037763124,634.3284157486389,65.40639132514966,27.563208,LP_mute 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
742,-0.09860677380371433,128,958.2833649851416,380.7855192318775,166.5285809780479,175.62564499846297,31.72913,LP_Lick4 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
771,-0.10615344782332874,129,902.659107891285,968.9455091880218,893.0874866057419,82.40688922821748,22.097137,Pop7_70bpm 7-Marshall JCM800.wav,Marshall JCM800
780,-0.10736243684469007,130,813.3825818815224,611.8335831091525,1063.1969997245033,88.32151700497141,14.200092,Rock_5_100bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
691,-0.10767401731946659,131,632.323501755462,367.2206820236348,437.7528770092316,69.6970834057884,19.906927,E1-Minor 11-VOXac30 custom.wav,VOXac30 custom
774,-0.10802651433912218,132,1092.2869290867068,527.8254029193827,567.035312920953,104.42763330455712,17.473934,Pop7_70bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
789,-0.11095137246466466,133,1147.2513229383242,914.8349351680351,768.2626872259057,66.54967490706109,14.41616,Rock4_125bpm 11-VOXac30 custom.wav,VOXac30 custom
700,-0.11101059422047586,134,802.468479211484,458.1666052745122,261.9160078097525,175.62564499846297,37.845085,FS_Lick4 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
763,-0.11288041534854051,135,811.466766939684,243.11813736550948,245.42043706942863,85.3129619008554,11.42828,Pop6_90bpm 6-Marshall 1959Plexi.wav,Marshall 1959Plexi
796,-0.11326169097309359,136,696.6860651532103,435.4244155913409,492.4635856176576,87.81282249923149,18.896893,A2-Major 11-VOXac30 custom.wav,VOXac30 custom
683,-0.11470559164215915,137,643.0003686646843,354.3116972071358,446.8844450107033,86.30425076864258,21.449863,E1-Major 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
634,-0.12449172233659116,138,706.6894316354059,254.3690917530544,519.1655144892236,206.4563592676515,32.11953,AR_Harmonic 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
668,-0.12689032155302674,139,1128.0061517071083,917.9195496981198,1057.4466013764245,65.7852866955572,12.459683,country_1_110bpm 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
736,-0.13263295801202635,140,974.0366364226712,334.0739802285757,286.6348502622651,74.26924703925044,15.207333,LP_Lick3 7-Marshall JCM800.wav,Marshall JCM800
781,-0.13309694385814355,141,729.2227956145657,233.3475555004211,278.42286728766544,128.565497341737,17.607996,Rock_5_100bpm 10-Roland Jazz Chorus.wav,Roland Jazz Chorus
629,-0.1350679443817594,142,702.953004078891,266.0055123796916,504.3385730588485,206.4563592676515,47.236652,AR_Harmonic 5-Fender deluxe reverb.wav,Fender deluxe reverb
689,-0.13653154203907872,143,517.0564330573948,330.7301644428431,362.227539172945,105.0325764301458,22.18222,E1-Minor 9-Plugin_GTR Amp.wav,Plugin_GTR Amp
639,-0.1411022866416691,144,1167.7460499542176,264.68040226857124,241.8086499722151,221.27444703492776,32.47826,AR_Lick6 8-Orange Rocker30 Head.wav,Orange Rocker30 Head
705,-0.14527213095122596,145,1021.0763732669856,537.2279694006638,267.13119084948744,175.62564499846297,42.925186,FS_Lick4 11-VOXac30 custom.wav,VOXac30 custom
