spectral_centroid_med,spectral_centroid_iqr,spectral_bandwidth_iqr,f0,hnr_med,resource_id
742.5919391606487,328.47616455621744,359.8040291019083,92.4986056779086,18.334593,657
1021.0763732669855,537.2279694006638,267.13119084948744,175.62564499846297,42.925186,705
632.644390538473,193.09652364805618,379.9801649154135,206.4563592676515,49.565945,630
890.5038823265022,437.51739422954984,591.696476978761,78.23233100085048,16.31023,788
268.1986516566135,246.975880478993,658.2194512642552,65.40639132514966,45.565216,749
1044.7502364182217,460.7117981044182,269.24630380197243,175.62564499846297,44.678574,703
988.9437509759091,358.78218406197607,173.46398637711764,147.682975305829,30.662472,704
482.3118418239069,152.72246881262947,326.36761380242274,65.40639132514966,20.66534,756
420.50351937314116,95.75380069573669,164.93119905744152,82.40688922821748,39.128796,697
670.9018504408793,618.6382155883443,810.7664193742625,70.10083450255941,28.707981,648
517.0564330573948,330.7301644428431,362.227539172945,105.03257643014581,22.18222,689
1125.932488676002,572.4391866594434,502.59110308983395,219.99999999999997,28.45251,717
723.6878818858185,275.8365933072738,355.01578732971325,92.23222929482232,16.401545,662
1167.7460499542176,264.68040226857124,241.8086499722151,221.27444703492776,32.47826,639
835.8931623227859,368.5809761094047,208.82601474950116,175.62564499846297,40.21789,702
1339.5201342550893,206.69541253817624,248.5213887687339,221.27444703492776,32.745384,636
792.7279071465989,299.11117743700174,391.2230943553926,92.4986056779086,20.195335,663
974.0366364226711,334.0739802285757,286.6348502622651,74.26924703925044,15.207333,736
1480.4402895591768,745.3644110753819,470.08180627324396,175.62564499846297,27.436604,747
702.953004078891,266.0055123796916,504.3385730588485,206.4563592676515,47.236652,629
651.3839568837033,241.35560430624258,479.647748805643,206.4563592676515,50.804676,633
702.7164128125227,263.8815275778155,499.694369433897,206.4563592676515,46.209213,635
614.3979975459142,205.52373229433363,286.24423390410493,92.4986056779086,20.916842,659
1128.0061517071083,917.9195496981198,1057.4466013764245,65.7852866955572,12.459683,668
1158.8735531875122,828.1650787867485,1069.328436708069,65.40639132514966,12.785392,670
573.0381915020763,410.91888302258593,491.9470564970419,83.8473362790669,22.196428,680
502.13549985581227,270.8579135017363,364.0266826119587,69.6970834057884,20.10429,687
387.3573428255323,103.25334806281717,103.88055919655051,82.40688922821748,43.974426,692
329.11973637881465,100.1155195687154,102.3138296688968,82.40688922821748,47.927288,693
378.2749321723765,121.1505427147307,100.8836877632989,82.40688922821748,45.97312,694
314.9062380119666,377.516788294469,590.5185220111146,67.32294488175604,28.817453,708
367.29317667431786,286.749079604714,334.35202488205044,72.99334582862124,24.331749,711
954.446441222858,475.8959230340963,463.8371532769388,219.99999999999997,30.02261,716
230.71721012545626,100.10152679266577,84.20538534207282,88.83315834800462,30.63837,721
252.19025013418175,141.2194033835247,135.48945570484614,88.83315834800462,29.185818,722
234.21935641561197,176.99882745451762,161.380658980879,87.30705785825097,35.045933,725
364.6402348851838,237.76093698343152,199.5443750485323,91.70101074372135,21.932516,726
713.1955159481194,270.6459936268908,332.91658856184586,69.6970834057884,13.073904,728
792.5239994033188,260.23180975566527,400.0662793610014,71.32617550580554,11.066696,730
761.952868800347,148.4357686012031,216.13216052932194,87.30705785825097,13.759668,732
882.5850344540165,296.83574727018095,255.31394521610855,75.57249325091561,15.810958,734
641.1958119939328,194.84819179907709,178.12245593088733,78.00703846568535,18.92691,735
801.1004045559889,285.08838649719337,339.63364643834404,75.13221412149176,15.779947,737
837.1897888534345,173.87958915080958,250.06898103356946,83.3644111580719,14.41301,738
1122.3422738573297,318.43852317060464,282.71307602971046,82.88426748110167,14.959197,740
1288.6387248333913,481.49722131913745,271.47952418250384,175.62564499846297,29.105907,741
1138.135739932506,460.06457088076615,392.54378886825407,175.62564499846297,30.183277,744
342.45178802186393,346.77892437537906,735.9997298218727,65.40639132514966,46.05747,748
340.4743285918569,335.3988466749538,835.5242391182962,65.40639132514966,44.431175,750
269.51878204601616,250.96273994289157,656.2868775860252,65.40639132514966,48.561203,751
608.7526850010631,233.8528342066902,323.8866573697451,65.40639132514966,19.681133,757
883.0520742695173,393.57862265128506,453.6556973182903,81.46580125261343,18.987663,761
811.466766939684,243.11813736550948,245.42043706942866,85.3129619008554,11.42828,763
1130.9766848027575,379.04202786168037,250.55137497597275,69.29565774421802,9.039338,764
1193.355411692517,386.2129480100766,392.1612988469674,98.56656061031477,11.060452,766
1406.907433576359,417.6484384728019,323.8318034817298,65.7852866955572,7.8689938,768
1243.5466103253525,1377.3011057779245,1090.8875109186588,91.43616857570666,21.421034,773
606.2539017783861,312.85005297506996,452.23065461668307,71.95435639639905,15.677167,777
826.568170375179,435.3611566116725,381.21056042318105,87.81282249923149,12.285368,778
813.3825818815224,611.8335831091525,1063.1969997245033,88.32151700497141,14.200092,780
729.2227956145657,233.3475555004211,278.42286728766544,128.565497341737,17.607996,781
1037.3892048630885,584.6877187103769,914.1450344791904,87.81282249923149,12.936777,782
615.9401979486136,417.88377035095095,624.9858284988527,77.33375603922921,20.332684,784
431.7608253977319,190.45574989264026,301.13959061137643,84.82159539743674,19.526318,791
696.6860651532103,435.4244155913409,492.4635856176576,87.81282249923149,18.896893,796
617.3935684333032,384.66578777695804,372.37149567166784,85.3129619008554,22.213596,799
